SF,Floors,Year Built,Value,E annual,G annual,Estimated Savings
910,1.5,1900.0,22300.0,8376.0,1370.0,543.0
942,2.0,1916.0,56300.0,8944.0,841.0,543.0
1152,2.0,1941.0,71300.0,8717.0,1049.0,543.0
1236,1.5,1941.0,75000.0,5803.0,894.0,543.0
2950,2.0,1920.0,216800.0,5874.0,2563.0,616.0
1152,1.5,1955.0,63200.0,2789.0,730.0,383.07
1263,1.5,1950.0,86100.0,10729.0,1134.0,856.0
768,1.0,1946.0,56400.0,14314.0,201.0,738.0
1100,1.5,1947.0,80600.0,9246.0,859.0,738.0
1371,2.0,1920.0,80400.0,7883.0,1928.0,246.0
1418,2.0,1948.0,61200.0,6081.0,1394.0,383.0
1020,1.5,1940.0,78700.0,8341.0,797.0,383.0
852,1.0,1929.0,97400.0,5331.0,1256.0,383.0
2370,2.0,1927.0,180500.0,9025.0,2708.0,402.0
1364,2.0,1949.0,92700.0,5786.0,1026.0,383.0
1368,2.0,1926.0,71300.0,8743.0,971.0,1067.15
1027,1.5,1955.0,108200.0,13664.0,2074.0,1067.15
1442,2.0,1928.0,90200.0,9952.0,1490.0,593.0
2281,2.0,1952.0,117900.0,7259.0,1417.0,168.0
1712,1.0,1957.0,123500.0,10128.0,1953.0,384.0
1332,1.5,1949.0,112500.0,11902.0,1336.0,303.0
1179,1.5,1944.0,97900.0,5879.0,739.0,933.0
3135,2.0,1954.0,201500.0,13293.0,1367.0,933.0
1120,1.0,1951.0,53000.0,6989.0,483.0,933.0
1644,1.5,1951.0,118300.0,3086.0,1315.0,325.0
1116,1.5,1924.0,62200.0,8902.0,709.0,927.0
1063,1.5,1943.0,72800.0,5395.0,734.0,927.0
1512,1.5,1952.0,71300.0,11237.0,607.0,595.0
1281,2.0,1947.0,65000.0,2464.0,902.0,416.0
1018,1.0,1964.0,96700.0,4297.0,833.0,506.0
1932,1.0,1985.0,166100.0,4042.0,1099.0,506.0
1174,1.75,1943.0,92900.0,8320.0,1134.0,486.0
